,Region,Country,Netflix Price,# of TV Shows,# of Movies,Netflix Library Size,Price per Title,Happiness score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Inflation,Population
0,South Asia,Pakistan,1.94,2301.0,3673.0,5974.0,0.00032,4.934,8.458,0.651,58.709,0.726,0.098,0.787,0.637,0.423,0.322,0.418,0.252,0.097,9.739993139,220892331.0
1,South Asia,India,2.44,2316.0,3770.0,6086.0,0.0004,3.819,8.755,0.603,60.633,0.893,0.089,0.774,0.741,0.316,0.383,0.622,0.246,0.106,6.623436776,1380004385.0
2,Middle East and North Africa,Turkey,2.48,1910.0,3602.0,5512.0,0.00045,4.948,10.24,0.822,67.199,0.576,-0.139,0.776,1.26,0.809,0.59,0.236,0.097,0.104,12.27895745,84339067.0
3,Latin America and Caribbean,Argentina,2.92,2039.0,3496.0,5535.0,0.00053,5.929,9.962,0.898,69.0,0.828,-0.182,0.834,1.162,0.98,0.646,0.544,0.069,0.067,,45376763.0
4,Latin America and Caribbean,Colombia,3.76,2031.0,3614.0,5645.0,0.00067,6.012,9.557,0.847,68.001,0.837,-0.135,0.841,1.021,0.866,0.615,0.554,0.1,0.063,2.524620535,50882884.0
5,Latin America and Caribbean,Brazil,4.82,2004.0,3667.0,5671.0,0.00085,6.33,9.577,0.882,66.601,0.804,-0.071,0.756,1.028,0.944,0.571,0.514,0.142,0.117,3.211768038,212559409.0
6,Central and Eastern Europe,Hungary,5.85,1359.0,5381.0,6740.0,0.00087,5.992,10.358,0.943,68.0,0.755,-0.186,0.876,1.301,1.083,0.615,0.454,0.067,0.04,3.326743858,9750149.0
7,Commonwealth of Independent States,Ukraine,4.84,2233.0,3312.0,5545.0,0.00087,4.875,9.436,0.888,64.902,0.724,-0.011,0.924,0.979,0.958,0.517,0.417,0.181,0.01,2.732492094,44132049.0
8,Southeast Asia,Philippines,6.27,2418.0,4340.0,6758.0,0.00093,5.88,9.076,0.83,62.0,0.917,-0.097,0.742,0.853,0.828,0.426,0.651,0.125,0.126,2.393162393,109581085.0
9,Sub-Saharan Africa,South Africa,5.54,2222.0,3667.0,5889.0,0.00094,4.956,9.403,0.86,56.904,0.749,-0.067,0.86,0.967,0.895,0.265,0.447,0.144,0.051,3.210035975,59308690.0
10,Central and Eastern Europe,Poland,5.85,1799.0,4319.0,6118.0,0.00096,6.166,10.382,0.898,69.702,0.841,-0.165,0.735,1.309,0.982,0.668,0.558,0.08,0.13,3.374469726,37899070.0
11,Central and Eastern Europe,Slovakia,7.76,2163.0,5827.0,7990.0,0.00097,6.331,10.369,0.936,69.201,0.766,-0.124,0.911,1.304,1.066,0.653,0.468,0.107,0.018,1.936941267,5458827.0
12,Central and Eastern Europe,Bulgaria,7.76,2162.0,5619.0,7781.0,0.001,5.266,10.016,0.931,67.0,0.788,-0.096,0.932,1.181,1.055,0.583,0.494,0.125,0.005,1.672440969,6934015.0
